candidate_id,name,party_code,q1_answer_value,q2_answer_value,q3_answer_value,q4_answer_value,q5_answer_value,q6_answer_value,q7_answer_value,q8_answer_value,q9_answer_value,q10_answer_value,q11_answer_value,q12_answer_value,q13_answer_value,q14_answer_value,q15_answer_value,q16_answer_value,q17_answer_value,q18_answer_value,q19_answer_value,q20_answer_value,q21_answer_value,q22_answer_value,q23_answer_value,q24_answer_value,q25_answer_value
798,Sofie de Bretteville Olsen,A,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0
750,Gunvor Wibroe,A,4.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0
754,Jens Anton Tingstrøm,A,4.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0
776,Magnus Barsøe,A,4.0,1.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0
780,Maria Durhuus,A,4.0,1.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0
783,Mattias Tesfaye,A,2.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0
788,Morten Bødskov,A,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0
939,Vibeke Westh,A,2.0,0.0,5.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,5.0,5.0,2.0,5.0,1.0,4.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,4.0
215,Lars Green Bach,B,4.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,5.0,4.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,2.0,4.0,1.0,4.0,4.0
220,Stinus Lindgreen,B,4.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,2.0,5.0,1.0,4.0,4.0
