candidate_label,name,party,cluster,avg_sentiment
Palle Bisgaard (Ø),Palle Bisgaard,Ø,1,-0.1333333333333333
Peder Brandhof (C),Peder Brandhof,C,0,-0.0611111111111111
Per Ludvigsen (V),Per Ludvigsen,V,0,-0.0611111111111111
Per Odin Thiim Thim (E),Per Odin Thiim Thim,E,1,-0.0476190476190476
Per Paludan Hansen (V),Per Paludan Hansen,V,0,-0.0611111111111111
Per Toni Hansen (B),Per Toni Hansen,B,0,-0.1416666666666666
Peter Kristiansen (F),Peter Kristiansen,F,0,-0.0611111111111111
Pil Yildiz (Ø),Pil Yildiz,Ø,1,-0.1828125
Preben Boldt (V),Preben Boldt,V,1,-0.0458333333333333
Rami Zouzou (C),Rami Zouzou,C,1,-0.0407407407407407
Rasmus Edelberg (A),Rasmus Edelberg,A,3,-0.131060606060606
Rasmus Holme (Ø),Rasmus Holme,Ø,3,-0.2416666666666667
René Hülz (F),René Hülz,F,0,-0.0611111111111111
Rie Jakobsen (C),Rie Jakobsen,C,1,-0.0833333333333333
Rikke Alice Bille (B),Rikke Alice Bille,B,1,-0.1666666666666666
Rosa Agersnap Bone (Ø),Rosa Agersnap Bone,Ø,1,-0.1805322128851541
Rune Rummel (A),Rune Rummel,A,0,-0.1239583333333333
Silas T. H. Rasmussen (C),Silas T. H. Rasmussen,C,4,-0.0523809523809523
Sine Heltberg (A),Sine Heltberg,A,0,-0.1333333333333333
Sofie Kümpel (A),Sofie Kümpel,A,0,-0.0611111111111111
Susanne Bonfils (V),Susanne Bonfils,V,0,-0.0611111111111111
Susanne Nørlund Munk (A),Susanne Nørlund Munk,A,1,-0.1366666666666666
Søren Bach (V),Søren Bach,V,0,-0.0611111111111111
Søren Brønchenburg (C),Søren Brønchenburg,C,2,-0.0098484848484848
Søren Dahlstrøm (A),Søren Dahlstrøm,A,2,0.0074074074074074
Søren Frost (V),Søren Frost,V,2,-0.1864583333333333
Thomas Frank (A),Thomas Frank,A,3,-0.1416666666666666
Thomas Jean Nielsen (M),Thomas Jean Nielsen,M,1,-0.1098958333333333
Thomas Mølgaard Andersen (Å),Thomas Mølgaard Andersen,Å,0,-0.0611111111111111
Tilde Nordin Dræger (Ø),Tilde Nordin Dræger,Ø,1,-0.0523809523809523
Tim Tue Wodskou (Å),Tim Tue Wodskou,Å,1,-0.1495614035087719
Tina Jacobsen (C),Tina Jacobsen,C,0,-0.0611111111111111
Tomas Munch Nielsen (F),Tomas Munch Nielsen,F,1,-0.0611111111111111
Tone Høybye (Ø),Tone Høybye,Ø,1,-0.1179487179487179
Torben Grinderslev (C),Torben Grinderslev,C,0,-0.0611111111111111
Vibeke Westh (A),Vibeke Westh,A,1,-0.0872222222222222
