party_1,party_2,similar_pairs_count,avg_similarity
A,Å,1,0.7748782831039324
C,I,2,0.7322064908827541
A,Ø,2,0.7269519048983579
C,F,6,0.7241541026919988
A,M,2,0.7235344492214273
C,V,2,0.7150178811013537
A,C,5,0.697292175562857
B,Ø,1,0.6735614200306397
F,Ø,1,0.6693278977428071
B,F,1,0.6580216249714066
A,V,1,0.653068185669283
A,F,2,0.6495687104776181
B,V,1,0.6413608381746653
I,Ø,1,0.6399307735086155
Å,Ø,2,0.63524870101838
