candidate_1,candidate_2,similarity,party_1,party_2,same_party
Pil Yildiz (Ø),Rie Jakobsen (C),0.2950185553485816,Ø,C,False
Caspar Stefani (C),Rasmus Holme (Ø),0.2950100655560978,C,Ø,False
Henrik Karl Hierl (I),Michella Lescher (F),0.2949711280052263,I,F,False
Emil Samaras (Ø),Eva Bechmann (Æ),0.2947315672186542,Ø,Æ,False
Cecilie Fisker (M),Tomas Munch Nielsen (F),0.2947174363617538,M,F,False
Daniel Panduro (Ø),Jan E. Jørgensen (V),0.29451240922085564,Ø,V,False
Rami Zouzou (C),Tomas Munch Nielsen (F),0.29442930128221617,C,F,False
Rami Zouzou (C),Rasmus Holme (Ø),0.2944035868096075,C,Ø,False
Malou Ananiassen (C),Thomas Jean Nielsen (M),0.2943615895635026,C,M,False
Henrik Karl Hierl (I),Isabel Havndrup Aackmann (B),0.29427768018020095,I,B,False
Bjarke Bisgaard Yolal (F),Jacob Rosenberg (C),0.29422112063042116,F,C,False
Matthew Dawids (O),Rasmus Edelberg (A),0.29395975500253524,O,A,False
Rasmus Edelberg (A),Rikke Alice Bille (B),0.2939125871608421,A,B,False
Rami Zouzou (C),Søren Frost (V),0.2938973607041596,C,V,False
Kim Hjerrild (Å),Kristoffer Appel (A),0.29371506899141114,Å,A,False
Elias Lederhaas (C),Mia Michelle Haugaard (Ø),0.29368133539142127,C,Ø,False
Lars Berg Andersen (I),Mia Michelle Haugaard (Ø),0.2935484071149688,I,Ø,False
Gabriel Egholm Rasmussen (Ø),Søren Frost (V),0.2935020709198216,Ø,V,False
Britt Dam (A),Laura Lindahl (C),0.2933173166419133,A,C,False
Jacob Rosenberg (C),Mia Michelle Haugaard (Ø),0.29329717710706615,C,Ø,False
Malou Ananiassen (C),Tomas Munch Nielsen (F),0.29318787677200736,C,F,False
Carina Høedt (C),Claus Wagenblast-Franck (C),0.2931592120940405,C,C,True
Malte Mathies Løcke (A),Sine Heltberg (A),0.2931537095449042,A,A,True
Annedorthe Kring (Å),Christina Sylvest-Noer (A),0.29314333515761676,Å,A,False
Kurt Pii (M),Thomas Jean Nielsen (M),0.29287744824343703,M,M,True
Bianca Vitting (Ø),Matthew Dawids (O),0.2928642470615391,Ø,O,False
Anders Storgaard (C),Vibeke Westh (A),0.2927408116750683,C,A,False
Emil Samaras (Ø),Helle Sjelle (M),0.2927245761758377,Ø,M,False
Annedorthe Kring (Å),Malene Sandfeld (V),0.29265585985566556,Å,V,False
Britt Dam (A),Daniel Panduro (Ø),0.29262681870244417,A,Ø,False
Kim Hjerrild (Å),Palle Bisgaard (Ø),0.292405944266442,Å,Ø,False
Jan E. Jørgensen (V),Søren Brønchenburg (C),0.29234998168250775,V,C,False
Carina Høedt (C),Rikke Alice Bille (B),0.2921225225493404,C,B,False
Emil Samaras (Ø),Lars Berg Andersen (I),0.2919610557535745,Ø,I,False
Preben Boldt (V),Søren Brønchenburg (C),0.2919517822667259,V,C,False
Jesper Ronald Jensen (C),Lone Loklindt (B),0.29178905917869663,C,B,False
Daniel Panduro (Ø),Søren Frost (V),0.29164928697524395,Ø,V,False
Peter Kristiansen (F),Tomas Munch Nielsen (F),0.2915003673763986,F,F,True
Britt Dam (A),Rie Jakobsen (C),0.2914390038888271,A,C,False
Birgit Bech (Ø),Laura Lindahl (C),0.2912803703498718,Ø,C,False
Emil Samaras (Ø),Fasael Rehman (C),0.29101026717994893,Ø,C,False
Asbjørn Dalgaard (A),Emil Samaras (Ø),0.2909546414128874,A,Ø,False
Henrik Karl Hierl (I),Merete Winther Hildebrandt (C),0.29090175839066884,I,C,False
Elias Lederhaas (C),Rikke Alice Bille (B),0.2907558602708665,C,B,False
Kurt Pii (M),Nikolaj Bøgh (C),0.2907216488252684,M,C,False
Mads Simonsen (A),Rasmus Holme (Ø),0.2906839644823954,A,Ø,False
Jesper Ronald Jensen (C),Søren Brønchenburg (C),0.29057639460543366,C,C,True
Lars Berg Andersen (I),Line Østergaard Olsen (I),0.2905117056748001,I,I,True
Emil Samaras (Ø),Frederik Tuxen Bjerrum (I),0.2899464904757435,Ø,I,False
Claus Wagenblast-Franck (C),Pil Yildiz (Ø),0.28992039185826624,C,Ø,False
Bianca Vitting (Ø),Bjarke Bisgaard Yolal (F),0.2897556245701143,Ø,F,False
Ebbe Wendt Lorenzen (A),Tomas Munch Nielsen (F),0.2896592030374146,A,F,False
Preben Boldt (V),Rasmus Edelberg (A),0.2893934940383371,V,A,False
Bianca Vitting (Ø),Nikolaj Bøgh (C),0.2893804521584375,Ø,C,False
Britt Dam (A),Gabriel Egholm Rasmussen (Ø),0.2892310893230585,A,Ø,False
Claus Wagenblast-Franck (C),Palle Bisgaard (Ø),0.2891958661332747,C,Ø,False
Frederik Tuxen Bjerrum (I),Henrik Karl Hierl (I),0.2890603914514175,I,I,True
Elias Lederhaas (C),Thomas Jean Nielsen (M),0.2889910950242246,C,M,False
Henrik Karl Hierl (I),Tone Høybye (Ø),0.2889602224107102,I,Ø,False
Brian Holm (C),Lars Berg Andersen (I),0.28873961347929966,C,I,False
Peter Kristiansen (F),Rie Jakobsen (C),0.2885503294951446,F,C,False
Bjarke Bisgaard Yolal (F),Rami Zouzou (C),0.28841870415106624,F,C,False
Line Østergaard Olsen (I),Merete Winther Hildebrandt (C),0.28833298265460106,I,C,False
Britt Dam (A),Rasmus Holme (Ø),0.2883171006987225,A,Ø,False
Britt Dam (A),Tilde Nordin Dræger (Ø),0.2882120859465255,A,Ø,False
Christina Sylvest-Noer (A),Line Østergaard Olsen (I),0.28819368729126427,A,I,False
David Michael Gerschwald (O),Rasmus Edelberg (A),0.2881012050401006,O,A,False
Henrik Karl Hierl (I),Jacob Rosenberg (C),0.2880594400880218,I,C,False
Peter Kristiansen (F),Rune Rummel (A),0.2880203911668591,F,A,False
Annedorthe Kring (Å),Joachim Høyrup (V),0.2880060288160376,Å,V,False
Henrik Karl Hierl (I),Malene Sandfeld (V),0.28797788891134546,I,V,False
Per Odin Thiim Thim (E),Tomas Munch Nielsen (F),0.2879589897675171,E,F,False
Birgit Bech (Ø),Jan E. Jørgensen (V),0.2879308264057849,Ø,V,False
Kristoffer Appel (A),Laura Lindahl (C),0.2878302589487121,A,C,False
David Michael Gerschwald (O),Peter Kristiansen (F),0.28774514356716907,O,F,False
Merete Winther Hildebrandt (C),Mia Michelle Haugaard (Ø),0.2876501310395212,C,Ø,False
Jens Otto Jarløv (B),Vibeke Westh (A),0.2875004499942379,B,A,False
Daniel Panduro (Ø),Rikke Alice Bille (B),0.2873547061043456,Ø,B,False
Nikolaj Bøgh (C),Rami Zouzou (C),0.2871436935313867,C,C,True
Annedorthe Kring (Å),Else Guldager (Ø),0.28709899715404386,Å,Ø,False
Birgit Bech (Ø),Malou Ananiassen (C),0.28693881912645103,Ø,C,False
Daniel Panduro (Ø),Rasmus Holme (Ø),0.2868486519613641,Ø,Ø,True
Brian Holm (C),Cecilie Fisker (M),0.28658767559324455,C,M,False
Asbjørn Dalgaard (A),Tomas Munch Nielsen (F),0.28654617674108096,A,F,False
Matthew Dawids (O),Michella Lescher (F),0.28598441334368857,O,F,False
Casper Pedersen (V),Emil Samaras (Ø),0.28593258792822546,V,Ø,False
Palle Bisgaard (Ø),Tina Jacobsen (C),0.28587926153181376,Ø,C,False
Annedorthe Kring (Å),Eva Bechmann (Æ),0.28580842023923925,Å,Æ,False
Sine Heltberg (A),Tim Tue Wodskou (Å),0.2854965117319104,A,Å,False
Emil Samaras (Ø),Vibeke Westh (A),0.28504802932553747,Ø,A,False
Casper Pedersen (V),Kim Hjerrild (Å),0.28498450794345126,V,Å,False
Casper Pedersen (V),Nikolaj Bøgh (C),0.2849749726760458,V,C,False
Emil Samaras (Ø),Tone Høybye (Ø),0.2848963965702753,Ø,Ø,True
Preben Boldt (V),Rune Rummel (A),0.28487894037392447,V,A,False
Kristoffer Appel (A),Rune Rummel (A),0.28483421766131395,A,A,True
Annedorthe Kring (Å),David Michael Gerschwald (O),0.28478655508802103,Å,O,False
Peter Kristiansen (F),Tim Tue Wodskou (Å),0.2845543030942776,F,Å,False
Carina Høedt (C),Laura Lindahl (C),0.28431566324810476,C,C,True
Bjarke Bisgaard Yolal (F),Mette Bram (Å),0.28423943502062615,F,Å,False
Daniel Panduro (Ø),Nikolaj Bøgh (C),0.2841370993606607,Ø,C,False
Joseph Favilla (I),Lone Loklindt (B),0.2840411733002988,I,B,False
Anders Storgaard (C),Casper Pedersen (V),0.28385959568449215,C,V,False
Elias Lederhaas (C),Gabriel Egholm Rasmussen (Ø),0.2838449447663441,C,Ø,False
Per Paludan Hansen (V),Tone Høybye (Ø),0.28383390222969485,V,Ø,False
Matthew Dawids (O),Merete Winther Hildebrandt (C),0.283612437303818,O,C,False
Brian Holm (C),Lotte Kofoed (F),0.2835557731140836,C,F,False
Malene Sandfeld (V),Sine Heltberg (A),0.2834604272180609,V,A,False
Michella Lescher (F),Tina Jacobsen (C),0.28342148270675643,F,C,False
Annedorthe Kring (Å),Susanne Nørlund Munk (A),0.28335726042039167,Å,A,False
Britt Dam (A),Kim Hjerrild (Å),0.2832959995023149,A,Å,False
Kristoffer Appel (A),Tomas Munch Nielsen (F),0.2831734884537272,A,F,False
Henrik Kragelund (C),Tim Tue Wodskou (Å),0.28312164197179795,C,Å,False
Joseph Favilla (I),Per Odin Thiim Thim (E),0.28257766081575,I,E,False
Mette Bram (Å),Pil Yildiz (Ø),0.28231593186642184,Å,Ø,False
Anders Storgaard (C),Ebbe Wendt Lorenzen (A),0.28218109990896023,C,A,False
Bjarke Bisgaard Yolal (F),Merete Winther Hildebrandt (C),0.2821397814589564,F,C,False
Daniel Panduro (Ø),David Michael Gerschwald (O),0.2819989311309973,Ø,O,False
Casper Pedersen (V),Henrik Kragelund (C),0.2819246729830636,V,C,False
Carina Høedt (C),Matthew Dawids (O),0.2818558348850411,C,O,False
Laura Lindahl (C),Rikke Alice Bille (B),0.28171896290772286,C,B,False
Birgit Bech (Ø),Tomas Munch Nielsen (F),0.2816814551035073,Ø,F,False
Isabel Havndrup Aackmann (B),Joseph Favilla (I),0.28158329810065685,B,I,False
Christina Sylvest-Noer (A),Henrik Karl Hierl (I),0.2814609315320977,A,I,False
Emil Samaras (Ø),Joachim Høyrup (V),0.2814163375639279,Ø,V,False
Line Østergaard Olsen (I),Tone Høybye (Ø),0.28129014814216047,I,Ø,False
Else Guldager (Ø),Matthew Dawids (O),0.2812197764347162,Ø,O,False
Helle Sjelle (M),Sine Heltberg (A),0.28119209579264537,M,A,False
Mia Michelle Haugaard (Ø),Per Odin Thiim Thim (E),0.28116341461801475,Ø,E,False
Rasmus Holme (Ø),Søren Brønchenburg (C),0.2810668584474214,Ø,C,False
Claus Wagenblast-Franck (C),Per Odin Thiim Thim (E),0.280979973110391,C,E,False
August Gade (F),Rune Rummel (A),0.28081550833932606,F,A,False
Asbjørn Dalgaard (A),David Michael Gerschwald (O),0.28079631641126024,A,O,False
Emil Samaras (Ø),Palle Bisgaard (Ø),0.28070001015631374,Ø,Ø,True
Bianca Vitting (Ø),Henrik Karl Hierl (I),0.28066375756357576,Ø,I,False
Ebbe Wendt Lorenzen (A),Rune Rummel (A),0.2804994254468792,A,A,True
Annedorthe Kring (Å),Freja Fokdal (B),0.2804960523994914,Å,B,False
Lars Berg Andersen (I),René Hülz (F),0.2801820005284115,I,F,False
Brian Holm (C),Lone Loklindt (B),0.28016315637130934,C,B,False
Asbjørn Dalgaard (A),Thomas Jean Nielsen (M),0.2797878638244585,A,M,False
Cecilie Fisker (M),Sine Heltberg (A),0.2797470660818737,M,A,False
Preben Boldt (V),Søren Frost (V),0.2797409429754357,V,V,True
Elias Lederhaas (C),Rami Zouzou (C),0.2796433548745796,C,C,True
Joachim Høyrup (V),Sine Heltberg (A),0.2795535426232557,V,A,False
Pil Yildiz (Ø),Søren Brønchenburg (C),0.2794897264379908,Ø,C,False
Emil Samaras (Ø),Jacob Rosenberg (C),0.27947533765390636,Ø,C,False
Daniel Panduro (Ø),Kim Hjerrild (Å),0.27893408262240016,Ø,Å,False
Casper Pedersen (V),Rune Rummel (A),0.27868387365829717,V,A,False
Carina Høedt (C),Pil Yildiz (Ø),0.2785396138748641,C,Ø,False
Annedorthe Kring (Å),Pil Yildiz (Ø),0.2784475264744284,Å,Ø,False
Kim Hjerrild (Å),Lone Loklindt (B),0.27825205919100177,Å,B,False
Elias Lederhaas (C),Nikolaj Bøgh (C),0.27825169179905174,C,C,True
Asbjørn Dalgaard (A),Rune Rummel (A),0.278103772186408,A,A,True
Joseph Favilla (I),Kristoffer Appel (A),0.27809227876764225,I,A,False
Laura Lindahl (C),Tone Høybye (Ø),0.27787650180202006,C,Ø,False
Jan E. Jørgensen (V),Rikke Alice Bille (B),0.2778075598203614,V,B,False
Gabriel Egholm Rasmussen (Ø),Preben Boldt (V),0.2777237592296797,Ø,V,False
Bianca Vitting (Ø),Line Østergaard Olsen (I),0.2776984223472525,Ø,I,False
Caspar Stefani (C),Tina Jacobsen (C),0.27768783738787584,C,C,True
Kim Hjerrild (Å),Per Odin Thiim Thim (E),0.27766874036125877,Å,E,False
Freja Fokdal (B),Tina Jacobsen (C),0.2775505424120456,B,C,False
Elias Lederhaas (C),Tina Jacobsen (C),0.27754035662109666,C,C,True
Annedorthe Kring (Å),Malte Mathies Løcke (A),0.27751194730253537,Å,A,False
Britt Dam (A),Søren Brønchenburg (C),0.27747427282846554,A,C,False
David Michael Gerschwald (O),Tomas Munch Nielsen (F),0.27735433472950294,O,F,False
Birgit Bech (Ø),Gabriel Egholm Rasmussen (Ø),0.2773361589774361,Ø,Ø,True
Cecilie Fisker (M),Henrik Karl Hierl (I),0.27727941123397526,M,I,False
Jan E. Jørgensen (V),Rasmus Edelberg (A),0.2772703260863854,V,A,False
Annedorthe Kring (Å),Helle Sjelle (M),0.2765937492826421,Å,M,False
Anders Storgaard (C),Helle Sjelle (M),0.27654682777103956,C,M,False
Palle Bisgaard (Ø),Sine Heltberg (A),0.27651282617124956,Ø,A,False
David Michael Gerschwald (O),Mette Bram (Å),0.2764991400321126,O,Å,False
Bianca Vitting (Ø),Laura Lindahl (C),0.2764928995473039,Ø,C,False
Mette Bram (Å),Nikolaj Bøgh (C),0.27632527534967827,Å,C,False
Michella Lescher (F),Sine Heltberg (A),0.27592402062960614,F,A,False
Helle Sjelle (M),Jens Otto Jarløv (B),0.2759229160102803,M,B,False
Christina Sylvest-Noer (A),Peter Kristiansen (F),0.27591119981232587,A,F,False
Bjarke Bisgaard Yolal (F),Malte Mathies Løcke (A),0.2759111987584894,F,A,False
Fasael Rehman (C),Henrik Kragelund (C),0.27582865958132163,C,C,True
Malte Mathies Løcke (A),Pil Yildiz (Ø),0.2757402405255344,A,Ø,False
Line Østergaard Olsen (I),Tomas Munch Nielsen (F),0.2756273262698488,I,F,False
Søren Brønchenburg (C),Tomas Munch Nielsen (F),0.27550138909055244,C,F,False
Jimmy Streit (C),Sine Heltberg (A),0.2754923250834035,C,A,False
Gabriel Egholm Rasmussen (Ø),Rune Rummel (A),0.2754704152910763,Ø,A,False
Lone Loklindt (B),Tomas Munch Nielsen (F),0.2754022274016359,B,F,False
Isabel Havndrup Aackmann (B),Sine Heltberg (A),0.2752755314574265,B,A,False
Bjarke Bisgaard Yolal (F),Daniel Panduro (Ø),0.2752515104175394,F,Ø,False
Daniel Panduro (Ø),Thomas Jean Nielsen (M),0.2752018322969763,Ø,M,False
Jesper Ronald Jensen (C),Søren Frost (V),0.2750586823109966,C,V,False
Rami Zouzou (C),René Hülz (F),0.2749252960415519,C,F,False
Christina Sylvest-Noer (A),Joseph Favilla (I),0.2749196036880733,A,I,False
Bjarke Bisgaard Yolal (F),Jesper Ronald Jensen (C),0.2747752783875075,F,C,False
Gabriel Egholm Rasmussen (Ø),Jesper Ronald Jensen (C),0.274748214317526,Ø,C,False
Claus Wagenblast-Franck (C),Else Guldager (Ø),0.2745179887313915,C,Ø,False
Isabel Havndrup Aackmann (B),Julius Lundsteen (F),0.2744918449746369,B,F,False
Helle Sjelle (M),Joseph Favilla (I),0.2743480643018964,M,I,False
Sine Heltberg (A),Tone Høybye (Ø),0.2742910094282672,A,Ø,False
Rie Jakobsen (C),Tomas Munch Nielsen (F),0.2742708175374944,C,F,False
Matthew Dawids (O),Per Odin Thiim Thim (E),0.2742678402516124,O,E,False
Kim Hjerrild (Å),Rune Rummel (A),0.2742499862384569,Å,A,False
Malte Mathies Løcke (A),Matthew Dawids (O),0.2741951595933554,A,O,False
Claus Wagenblast-Franck (C),Jan E. Jørgensen (V),0.27416019803852865,C,V,False
Brian Holm (C),Tim Tue Wodskou (Å),0.27415386517060253,C,Å,False
Malene Sandfeld (V),Tina Jacobsen (C),0.2740911056681687,V,C,False
Daniel Panduro (Ø),Mia Michelle Haugaard (Ø),0.27399886971556464,Ø,Ø,True
Henrik Kragelund (C),Per Odin Thiim Thim (E),0.2739234703591106,C,E,False
Else Guldager (Ø),René Hülz (F),0.27361841130906933,Ø,F,False
Søren Frost (V),Tina Jacobsen (C),0.27353028700857795,V,C,False
Christina Sylvest-Noer (A),Henrik Kragelund (C),0.2732363208336635,A,C,False
Gabriel Egholm Rasmussen (Ø),Jan E. Jørgensen (V),0.27315111833451006,Ø,V,False
Julius Lundsteen (F),Tone Høybye (Ø),0.27308734430636106,F,Ø,False
Fasael Rehman (C),Nikolaj Bøgh (C),0.27306948506321344,C,C,True
Joseph Favilla (I),Rosa Agersnap Bone (Ø),0.272915066231682,I,Ø,False
Michella Lescher (F),Rune Rummel (A),0.27289866948354985,F,A,False
Brian Holm (C),Kristoffer Appel (A),0.2728069591446052,C,A,False
August Gade (F),Tina Jacobsen (C),0.2726495473339366,F,C,False
Line Østergaard Olsen (I),Malte Mathies Løcke (A),0.2725384429905264,I,A,False
Lone Loklindt (B),Pil Yildiz (Ø),0.27245995411497886,B,Ø,False
David Michael Gerschwald (O),Susanne Nørlund Munk (A),0.2722435895243165,O,A,False
Rie Jakobsen (C),Tilde Nordin Dræger (Ø),0.27216487709886467,C,Ø,False
Henrik Kragelund (C),Joachim Høyrup (V),0.27208438746285957,C,V,False
Gabriel Egholm Rasmussen (Ø),Kurt Pii (M),0.27186312390559925,Ø,M,False
Annedorthe Kring (Å),Tilde Nordin Dræger (Ø),0.2716763983956232,Å,Ø,False
Brian Holm (C),Joachim Høyrup (V),0.27163000981981716,C,V,False
Else Guldager (Ø),Tilde Nordin Dræger (Ø),0.2715605703071329,Ø,Ø,True
Christina Sylvest-Noer (A),Emil Samaras (Ø),0.27133707115654415,A,Ø,False
Carina Høedt (C),Tomas Munch Nielsen (F),0.27132359020078994,C,F,False
Claus Wagenblast-Franck (C),Thomas Jean Nielsen (M),0.27123024613661406,C,M,False
Sine Heltberg (A),Vibeke Westh (A),0.27116224478397494,A,A,True
Eva Bechmann (Æ),Henrik Karl Hierl (I),0.27101431938117154,Æ,I,False
Annedorthe Kring (Å),Per Odin Thiim Thim (E),0.27076261431530707,Å,E,False
Jacob Rosenberg (C),Tina Jacobsen (C),0.27056801530381214,C,C,True
Annedorthe Kring (Å),Rami Zouzou (C),0.2704458490150988,Å,C,False
Casper Pedersen (V),Jesper Ronald Jensen (C),0.2702853624047304,V,C,False
Søren Frost (V),Tomas Munch Nielsen (F),0.27019400329010834,V,F,False
Jan E. Jørgensen (V),Matthew Dawids (O),0.27018947945431604,V,O,False
Merete Winther Hildebrandt (C),Pil Yildiz (Ø),0.27011479117367315,C,Ø,False
Birgit Bech (Ø),Jesper Ronald Jensen (C),0.2699900172746881,Ø,C,False
Brian Holm (C),Tone Høybye (Ø),0.26988718365625175,C,Ø,False
Jesper Ronald Jensen (C),Malte Mathies Løcke (A),0.2697681563603106,C,A,False
Tilde Nordin Dræger (Ø),Tone Høybye (Ø),0.2696879919203192,Ø,Ø,True
Kurt Pii (M),Mia Michelle Haugaard (Ø),0.26940355472833094,M,Ø,False
Else Guldager (Ø),Tina Jacobsen (C),0.2692740190114001,Ø,C,False
Elias Lederhaas (C),Jesper Ronald Jensen (C),0.26911198455328306,C,C,True
Jan E. Jørgensen (V),Tilde Nordin Dræger (Ø),0.2689436947278932,V,Ø,False
Annedorthe Kring (Å),Caspar Stefani (C),0.26889113508643775,Å,C,False
Joseph Favilla (I),Palle Bisgaard (Ø),0.26884455124653756,I,Ø,False
Bjarke Bisgaard Yolal (F),Ebbe Wendt Lorenzen (A),0.26854281193715734,F,A,False
Pil Yildiz (Ø),Rasmus Holme (Ø),0.26853145405907386,Ø,Ø,True
Mia Michelle Haugaard (Ø),Søren Frost (V),0.2684645153726872,Ø,V,False
Gabriel Egholm Rasmussen (Ø),Rasmus Holme (Ø),0.2683466967278193,Ø,Ø,True
Britt Dam (A),David Michael Gerschwald (O),0.2681505591408247,A,O,False
Annedorthe Kring (Å),Kristoffer Appel (A),0.2680787005754278,Å,A,False
Fasael Rehman (C),Sine Heltberg (A),0.2680187357788764,C,A,False
Gabriel Egholm Rasmussen (Ø),Matthew Dawids (O),0.26791993616270887,Ø,O,False
David Michael Gerschwald (O),Palle Bisgaard (Ø),0.26787665530296734,O,Ø,False
Rikke Alice Bille (B),Søren Brønchenburg (C),0.2678348784712705,B,C,False
Brian Holm (C),Matthew Dawids (O),0.26761242478556485,C,O,False
Pil Yildiz (Ø),Rasmus Edelberg (A),0.26748583480188604,Ø,A,False
Kurt Pii (M),Laura Lindahl (C),0.2674555536823657,M,C,False
Daniel Panduro (Ø),Preben Boldt (V),0.26708195404665336,Ø,V,False
Carina Høedt (C),Joseph Favilla (I),0.2670699707454454,C,I,False
Fasael Rehman (C),Marie Budtz Andersen (C),0.26706442975075806,C,C,True
Rasmus Edelberg (A),Søren Brønchenburg (C),0.26690817868577393,A,C,False
Freja Fokdal (B),Pil Yildiz (Ø),0.26685347732732884,B,Ø,False
Søren Frost (V),Tilde Nordin Dræger (Ø),0.2668102422099276,V,Ø,False
Joseph Favilla (I),Rasmus Edelberg (A),0.2668077775971592,I,A,False
Fasael Rehman (C),Henrik Karl Hierl (I),0.26674286989424423,C,I,False
Rami Zouzou (C),Thomas Jean Nielsen (M),0.26652205251936506,C,M,False
Annedorthe Kring (Å),Michella Lescher (F),0.26641429625372665,Å,F,False
Matthew Dawids (O),Peter Kristiansen (F),0.26633775396565557,O,F,False
Laura Lindahl (C),Søren Brønchenburg (C),0.2663292976114035,C,C,True
Gabriel Egholm Rasmussen (Ø),Rasmus Edelberg (A),0.26632881670141884,Ø,A,False
Rie Jakobsen (C),Rune Rummel (A),0.26621131013928,C,A,False
Joseph Favilla (I),Mette Bram (Å),0.26604024176370833,I,Å,False
Nikolaj Bøgh (C),Preben Boldt (V),0.26601617628324437,C,V,False
Henrik Karl Hierl (I),Jimmy Streit (C),0.2660123821167752,I,C,False
Claude Teisen-Simony (T),Susanne Nørlund Munk (A),0.2659777541257928,T,A,False
Rie Jakobsen (C),Thomas Jean Nielsen (M),0.2659174125514877,C,M,False
Henrik Karl Hierl (I),Vibeke Westh (A),0.26560316460856714,I,A,False
Frederik Tuxen Bjerrum (I),Line Østergaard Olsen (I),0.2653932121686349,I,I,True
Rikke Alice Bille (B),Søren Frost (V),0.2651767808853624,B,V,False
Per Odin Thiim Thim (E),Rikke Alice Bille (B),0.26502267939822427,E,B,False
Annedorthe Kring (Å),Birgit Bech (Ø),0.26497157601191546,Å,Ø,False
Emil Samaras (Ø),Per Odin Thiim Thim (E),0.26497049172743414,Ø,E,False
Daniel Panduro (Ø),Laura Lindahl (C),0.2649255693162581,Ø,C,False
Brian Holm (C),Casper Pedersen (V),0.2649079740735858,C,V,False
Britt Dam (A),Emil Samaras (Ø),0.2648556053150647,A,Ø,False
Palle Bisgaard (Ø),Rune Rummel (A),0.26471345414694925,Ø,A,False
Jesper Ronald Jensen (C),Pil Yildiz (Ø),0.2646342764598499,C,Ø,False
Annedorthe Kring (Å),Palle Bisgaard (Ø),0.2645554517696639,Å,Ø,False
Nikolaj Bøgh (C),Vibeke Westh (A),0.26438373423999884,C,A,False
Anders Storgaard (C),Malene Sandfeld (V),0.2642495860259989,C,V,False
Rasmus Edelberg (A),Søren Frost (V),0.2642244355564495,A,V,False
Annedorthe Kring (Å),Cecilie Fisker (M),0.264193471483865,Å,M,False
Jens Otto Jarløv (B),Lars Berg Andersen (I),0.26406680466460336,B,I,False
Carina Høedt (C),Henrik Karl Hierl (I),0.2640358423006532,C,I,False
Matthew Dawids (O),Søren Brønchenburg (C),0.2640018717127887,O,C,False
Nikolaj Bøgh (C),Palle Bisgaard (Ø),0.26388376738814057,C,Ø,False
Annedorthe Kring (Å),Laura Lindahl (C),0.2637433481500955,Å,C,False
Caspar Stefani (C),Kim Hjerrild (Å),0.2636027156453098,C,Å,False
Kim Hjerrild (Å),Søren Brønchenburg (C),0.263598545998824,Å,C,False
Anne Eggen (Ø),Frederik Tuxen Bjerrum (I),0.26352383112174665,Ø,I,False
Brian Holm (C),Else Guldager (Ø),0.2632802083569291,C,Ø,False
Marie Budtz Andersen (C),Susanne Nørlund Munk (A),0.2629125264014822,C,A,False
Malte Mathies Løcke (A),Thomas Jean Nielsen (M),0.2627737480894112,A,M,False
Rune Rummel (A),Vibeke Westh (A),0.26258654178780055,A,A,True
Peder Brandhof (C),Susanne Nørlund Munk (A),0.2622695386540779,C,A,False
Jan E. Jørgensen (V),Pil Yildiz (Ø),0.26224747684583766,V,Ø,False
David Michael Gerschwald (O),Thomas Jean Nielsen (M),0.2621176204354113,O,M,False
Jacob Rosenberg (C),Tilde Nordin Dræger (Ø),0.2619606159316516,C,Ø,False
Caspar Stefani (C),Thomas Jean Nielsen (M),0.2618756064857226,C,M,False
Rune Rummel (A),Susanne Nørlund Munk (A),0.26182735963368775,A,A,True
Brian Holm (C),David Michael Gerschwald (O),0.2617326352686113,C,O,False
Laura Lindahl (C),Rami Zouzou (C),0.26155628709194817,C,C,True
Henrik Kragelund (C),Malene Sandfeld (V),0.2614579329995785,C,V,False
Mia Michelle Haugaard (Ø),Rasmus Holme (Ø),0.26143345274223034,Ø,Ø,True
David Michael Gerschwald (O),Ebbe Wendt Lorenzen (A),0.26139330252825044,O,A,False
Casper Pedersen (V),Henrik Karl Hierl (I),0.26122136056474937,V,I,False
Elias Lederhaas (C),Sine Heltberg (A),0.2612022385378912,C,A,False
Fasael Rehman (C),Line Østergaard Olsen (I),0.26112697501081017,C,I,False
Bjarke Bisgaard Yolal (F),Elias Lederhaas (C),0.2610647358946114,F,C,False
Per Odin Thiim Thim (E),Rasmus Holme (Ø),0.2610609020456965,E,Ø,False
Kim Hjerrild (Å),Tomas Munch Nielsen (F),0.26101405454754606,Å,F,False
Claus Wagenblast-Franck (C),David Michael Gerschwald (O),0.2608700906465753,C,O,False
Isabel Havndrup Aackmann (B),Line Østergaard Olsen (I),0.260693889349058,B,I,False
Nikolaj Bøgh (C),Per Odin Thiim Thim (E),0.26060449887781806,C,E,False
Rasmus Holme (Ø),Søren Frost (V),0.2605713477848758,Ø,V,False
Julius Lundsteen (F),Rosa Agersnap Bone (Ø),0.26055841304281485,F,Ø,False
Kurt Pii (M),René Hülz (F),0.2605458617200961,M,F,False
Joseph Favilla (I),Michella Lescher (F),0.2602309654703498,I,F,False
Frederik Tuxen Bjerrum (I),Peter Kristiansen (F),0.2601719711704126,I,F,False
Kim Hjerrild (Å),Rasmus Edelberg (A),0.26013690819365,Å,A,False
Asbjørn Dalgaard (A),Tilde Nordin Dræger (Ø),0.26005172086027417,A,Ø,False
Henrik Kragelund (C),Jimmy Streit (C),0.2600024113061036,C,C,True
Elias Lederhaas (C),Kurt Pii (M),0.25989024524910054,C,M,False
Kristoffer Appel (A),Pil Yildiz (Ø),0.2598310498771288,A,Ø,False
