candidate_1,candidate_2,similarity,party_1,party_2,same_party
August Gade (F),Isabel Havndrup Aackmann (B),0.5960887360218933,F,B,False
Jacob Rosenberg (C),Tim Tue Wodskou (Å),0.5956530059204441,C,Å,False
Frederik Tuxen Bjerrum (I),Helle Sjelle (M),0.595562110712678,I,M,False
Rosa Agersnap Bone (Ø),Tone Høybye (Ø),0.5949493289080391,Ø,Ø,True
Jimmy Streit (C),Tim Tue Wodskou (Å),0.5948881838762061,C,Å,False
August Gade (F),Susanne Nørlund Munk (A),0.5935684297629775,F,A,False
Kristoffer Appel (A),Lone Loklindt (B),0.5924963812184028,A,B,False
Pil Yildiz (Ø),Rikke Alice Bille (B),0.5920048247775582,Ø,B,False
August Gade (F),Kristoffer Appel (A),0.5910069149020708,F,A,False
Fasael Rehman (C),Vibeke Westh (A),0.5905824211318236,C,A,False
Merete Winther Hildebrandt (C),Tone Høybye (Ø),0.5903525554180342,C,Ø,False
Christina Sylvest-Noer (A),Vibeke Westh (A),0.5903224661049848,A,A,True
Jimmy Streit (C),Rosa Agersnap Bone (Ø),0.590190344683278,C,Ø,False
Jimmy Streit (C),Tone Høybye (Ø),0.5893411057765324,C,Ø,False
Cecilie Fisker (M),Malene Sandfeld (V),0.5880205647834462,M,V,False
Isabel Havndrup Aackmann (B),Jimmy Streit (C),0.5879006978479553,B,C,False
Jimmy Streit (C),Merete Winther Hildebrandt (C),0.5864890875327404,C,C,True
Isabel Havndrup Aackmann (B),Michella Lescher (F),0.5859564019022674,B,F,False
Frederik Tuxen Bjerrum (I),Isabel Havndrup Aackmann (B),0.583572948172557,I,B,False
Helle Sjelle (M),Isabel Havndrup Aackmann (B),0.583214677609021,M,B,False
Christina Sylvest-Noer (A),Tim Tue Wodskou (Å),0.5818541637148252,A,Å,False
Carina Høedt (C),Daniel Panduro (Ø),0.5817606093165786,C,Ø,False
Helle Sjelle (M),Joachim Høyrup (V),0.5812744287072875,M,V,False
Lars Berg Andersen (I),Merete Winther Hildebrandt (C),0.5794004383034773,I,C,False
Cecilie Fisker (M),Frederik Tuxen Bjerrum (I),0.5792435504439366,M,I,False
Else Guldager (Ø),Lars Berg Andersen (I),0.5784384005784202,Ø,I,False
Frederik Tuxen Bjerrum (I),Susanne Nørlund Munk (A),0.5780072620418222,I,A,False
Helle Sjelle (M),Tone Høybye (Ø),0.5760819377076728,M,Ø,False
Jimmy Streit (C),Lars Berg Andersen (I),0.5756226965882625,C,I,False
Casper Pedersen (V),Frederik Tuxen Bjerrum (I),0.5743612160211516,V,I,False
Malte Mathies Løcke (A),Rasmus Edelberg (A),0.5742790634432112,A,A,True
Carina Høedt (C),Kristoffer Appel (A),0.5742039903102222,C,A,False
Carina Høedt (C),Jimmy Streit (C),0.5733568606143775,C,C,True
Daniel Panduro (Ø),Jimmy Streit (C),0.5724048867842391,Ø,C,False
Susanne Nørlund Munk (A),Tim Tue Wodskou (Å),0.5722969851247465,A,Å,False
Michella Lescher (F),Tim Tue Wodskou (Å),0.5718516085848535,F,Å,False
Jacob Rosenberg (C),Merete Winther Hildebrandt (C),0.5713734894679683,C,C,True
Elias Lederhaas (C),Rasmus Holme (Ø),0.5712222794670835,C,Ø,False
Christina Sylvest-Noer (A),Helle Sjelle (M),0.5709679913029458,A,M,False
Bianca Vitting (Ø),Lotte Kofoed (F),0.5705738499516175,Ø,F,False
Jacob Rosenberg (C),Lars Berg Andersen (I),0.5705616773905091,C,I,False
Lone Loklindt (B),Michella Lescher (F),0.5704649326214928,B,F,False
Lars Berg Andersen (I),Rosa Agersnap Bone (Ø),0.5700575321391171,I,Ø,False
Freja Fokdal (B),Lone Loklindt (B),0.5700528916591628,B,B,True
Merete Winther Hildebrandt (C),Tim Tue Wodskou (Å),0.5697394293628858,C,Å,False
Cecilie Fisker (M),Isabel Havndrup Aackmann (B),0.5696308836828845,M,B,False
Jacob Rosenberg (C),Rosa Agersnap Bone (Ø),0.5690235294385604,C,Ø,False
Helle Sjelle (M),Vibeke Westh (A),0.5689898645317794,M,A,False
Cecilie Fisker (M),Lone Loklindt (B),0.5688980734925863,M,B,False
Carina Høedt (C),Susanne Nørlund Munk (A),0.5685391957785604,C,A,False
Joachim Høyrup (V),Lars Berg Andersen (I),0.5680568930735479,V,I,False
Frederik Tuxen Bjerrum (I),Lotte Kofoed (F),0.5679755124033906,I,F,False
Christina Sylvest-Noer (A),Rosa Agersnap Bone (Ø),0.5679635650244803,A,Ø,False
August Gade (F),Freja Fokdal (B),0.567910782487656,F,B,False
Elias Lederhaas (C),Rasmus Edelberg (A),0.5679101095815506,C,A,False
Lotte Kofoed (F),Tone Høybye (Ø),0.5677003718441528,F,Ø,False
Isabel Havndrup Aackmann (B),Vibeke Westh (A),0.5673140181861668,B,A,False
August Gade (F),Frederik Tuxen Bjerrum (I),0.5659614667606164,F,I,False
Joachim Høyrup (V),Rosa Agersnap Bone (Ø),0.5656920126015146,V,Ø,False
August Gade (F),Joachim Høyrup (V),0.5649971860366734,F,V,False
Helle Sjelle (M),Kurt Pii (M),0.5647064125689283,M,M,True
Fasael Rehman (C),Pil Yildiz (Ø),0.5644241975309741,C,Ø,False
Helle Sjelle (M),Jimmy Streit (C),0.5638777595453881,M,C,False
Elias Lederhaas (C),Lotte Kofoed (F),0.5634811958258346,C,F,False
Caspar Stefani (C),Tone Høybye (Ø),0.5628748805712874,C,Ø,False
Thomas Jean Nielsen (M),Thomas Mølgaard Andersen (Å),0.5616560903331957,M,Å,False
Fasael Rehman (C),Jimmy Streit (C),0.5610127200961206,C,C,True
Malene Sandfeld (V),Susanne Nørlund Munk (A),0.5606062815341317,V,A,False
Joachim Høyrup (V),Michella Lescher (F),0.56043802009961,V,F,False
Lars Berg Andersen (I),Lotte Kofoed (F),0.5597635691952507,I,F,False
August Gade (F),Cecilie Fisker (M),0.5596906277670445,F,M,False
Lone Loklindt (B),Tim Tue Wodskou (Å),0.5592818605289831,B,Å,False
Christina Sylvest-Noer (A),Fasael Rehman (C),0.5585441375907901,A,C,False
Tim Tue Wodskou (Å),Vibeke Westh (A),0.5568740018845665,Å,A,False
Christina Sylvest-Noer (A),Frederik Tuxen Bjerrum (I),0.556444033186457,A,I,False
Bianca Vitting (Ø),Mette Bram (Å),0.5562867470497526,Ø,Å,False
Palle Bisgaard (Ø),Susanne Nørlund Munk (A),0.555533722057916,Ø,A,False
Merete Winther Hildebrandt (C),Michella Lescher (F),0.5549664852289914,C,F,False
Carina Høedt (C),Merete Winther Hildebrandt (C),0.5541892654796642,C,C,True
Isabel Havndrup Aackmann (B),Malte Mathies Løcke (A),0.5537887171881488,B,A,False
Helle Sjelle (M),Lars Berg Andersen (I),0.5533187615867882,M,I,False
