candidate_id,name,party,municipality,uddannelse,bopael,alder,erhverv,sociale_medier,num_priorities,num_test_answers,url
7250,Pernille Rosenkrantz-Theil,A,Københavns Kommune,Bachelor-/diplomuddannelse,Brønshøj,,,,6,0,https://www.dr.dk/nyheder/politik/kommunalvalg/din-stemmeseddel/kandidater/kommune/7250-pernille-rosenkrantz-theil
6116,Andreas Keil,A,Københavns Kommune,Erhvervsuddannelse,København,,,,6,0,https://www.dr.dk/nyheder/politik/kommunalvalg/din-stemmeseddel/kandidater/kommune/6116-andreas-keil
6132,Laura Rosenvinge,A,Københavns Kommune,Kandidat-/masteruddannelse,København,,,,6,0,https://www.dr.dk/nyheder/politik/kommunalvalg/din-stemmeseddel/kandidater/kommune/6132-laura-rosenvinge
