candidate_id,name,party_code,number,title,text
480,Jarl Matthiesen,V,1,Økonomi,God økonomi er forudsætning for alt andet.
480,Jarl Matthiesen,V,2,Forsvar og sikkerhed,"Som verden har udviklet sig på det seneste, er det nødvendigt at Europa selv kan tage vare på egen sikkerhed, nu hvor USA er blevet utilregneligt. Derfor må vi yde vores del."
480,Jarl Matthiesen,V,3,Energi og miljø,Uden tilstrækkelig og stabil energiforsyning har vi intet samfund. Uden et miljø i balance har vi ingen fremtid.
