candidate_id,name,party_code,number,title,text
734,Asbjørn Reissmann,A,1,Progressiv beskatning af profit ved ejendomssalg,"Boligmarkedet er vores største ulighedsmaskine. De voldsomme prisstigninger giver skattefrie gevinster i millionklassen. Man har skabt langt højere formue ved blot at eje mursten end ved egenindsats. Og formuen gives videre til børnene, som kan sælge forældrekøbet med skattefri profit. 

Hvis det skal kunne betale sig at gå på arbejde og gøre en indsat, skal høj profit på solgte mursten beskattes."
734,Asbjørn Reissmann,A,2,"Rent drikkevand, hav og luft","Ved frivillighed har vi nået 1,5 % af det mål om beskyttelse af grundvandet, som vi satte for 27 år siden i 1998. Danmarks grundvand tilhører os alle sammen. Derfor skal det beskyttes. Landbruget har vist sige ude af stand til at gøre dette ved frivillighed. Derfor skal vi have et sprøjteforbud. 

Vi skal også have højere afgifter på CO2 og kvælstof for at beskytte vores luft og have. "
734,Asbjørn Reissmann,A,3,Styrket indsats mod partnervold,"Vi skal have mere fokus på tryghed i hjemmet - ikke kun på gaderne. I 2025 blive fire gange så mange kvinder slået ihjel af deres partnere eller ekspartnere, som der var bandemedlemmer, der blev dræbt i en bandekonflikt. Partnervold rammer både mænd og kvinder i tusindtal. Men vi taler ikke om det, selvom vi er i toppen af EUs statistikker på området, og vi gør ikke nok. 
Det vil jeg lave om på"
